Date,Expire Date,Option Type,Strike,Contract Name,Last,Bid,Ask,Change,%Change,Volume,Open Interest,Implied Volatility
11.10.2018,12.10.2018,CALL,175.0,AAPL181012C00175000,40.95,39.5,40.05,-3.25,-7.3529406,4,10,1.537111689453125
11.10.2018,12.10.2018,CALL,177.5,AAPL181012C00177500,47.2,37.0,37.5,47.2,100.0,1,1,1.4257841210937499
11.10.2018,12.10.2018,CALL,180.0,AAPL181012C00180000,35.95,34.95,35.45,-4.450001,-11.014853,2,204,1.6181659716796877
11.10.2018,12.10.2018,CALL,182.5,AAPL181012C00182500,37.8,35.6,36.5,0.0,0.0,10,33,2.5595739135742184
11.10.2018,12.10.2018,CALL,185.0,AAPL181012C00185000,40.84,33.1,34.25,0.0,0.0,19,29,2.4506874670410155
11.10.2018,12.10.2018,CALL,187.5,AAPL181012C00187500,35.55,26.95,28.35,-6.279999,-17.665257,94,85,1.2939488427734374
11.10.2018,12.10.2018,CALL,190.0,AAPL181012C00190000,26.9,24.75,25.7,0.049999237,0.18621689,3,111,1.2255898095703124
11.10.2018,12.10.2018,CALL,192.5,AAPL181012C00192500,24.7,26.2,26.85,0.0,0.0,9,183,2.1059617663574213
11.10.2018,12.10.2018,CALL,195.0,AAPL181012C00195000,21.72,19.75,20.65,-2.08,-8.739496,10,21,1.0141650854492186
11.10.2018,12.10.2018,CALL,197.5,AAPL181012C00197500,22.9,21.25,21.85,0.0,0.0,368,279,1.8227547924804686
11.10.2018,12.10.2018,CALL,200.0,AAPL181012C00200000,15.6,14.55,15.45,-1.3500004,-7.9646034,97,408,0.7412135253906249
11.10.2018,12.10.2018,CALL,202.5,AAPL181012C00202500,12.0,16.35,16.65,-5.299999,-30.635834,10,72,1.517092258300781
11.10.2018,12.10.2018,CALL,205.0,AAPL181012C00205000,9.9,9.6,10.4,-2.6000004,-20.800003,287,307,0.5415084912109377
11.10.2018,12.10.2018,CALL,207.5,AAPL181012C00207500,8.35,7.75,8.55,-1.75,-17.326733,828,172,0.5903361279296876
11.10.2018,12.10.2018,CALL,210.0,AAPL181012C00210000,5.85,5.65,5.85,-2.15,-26.875002,3060,525,0.5004932763671875
11.10.2018,12.10.2018,CALL,212.5,AAPL181012C00212500,4.05,3.7,3.8,-1.8499999,-31.35593,4741,366,0.43066975585937506
11.10.2018,12.10.2018,CALL,215.0,AAPL181012C00215000,2.03,2.09,2.17,-2.1200001,-51.08434,19715,2745,0.38403936279296874
11.10.2018,12.10.2018,CALL,217.5,AAPL181012C00217500,0.78,0.85,0.9,-2.02,-72.14286,28683,2989,0.3259344750976562
11.10.2018,12.10.2018,CALL,220.0,AAPL181012C00220000,0.31,0.34,0.36,-1.25,-80.12821,42222,8911,0.3178779150390625
11.10.2018,12.10.2018,CALL,222.5,AAPL181012C00222500,0.12,0.12,0.13,-0.7,-85.36585,27833,6618,0.31836619140624994
11.10.2018,12.10.2018,CALL,225.0,AAPL181012C00225000,0.07,0.06,0.07,-0.33,-82.50001,32641,19824,0.34961587890624996
11.10.2018,12.10.2018,CALL,227.5,AAPL181012C00227500,0.03,0.03,0.04,-0.16,-84.210526,14574,18438,0.3789124609375
11.10.2018,12.10.2018,CALL,230.0,AAPL181012C00230000,0.02,0.02,0.03,-0.05,-71.42857,11252,21334,0.42188078125
11.10.2018,12.10.2018,CALL,232.5,AAPL181012C00232500,0.01,0.01,0.02,-0.02,-66.66667,2430,10975,0.45313046875
11.10.2018,12.10.2018,CALL,235.0,AAPL181012C00235000,0.01,0.01,0.02,0.0,0.0,2154,12450,0.507817421875
11.10.2018,12.10.2018,CALL,237.5,AAPL181012C00237500,0.01,0.0,0.01,0.0,0.0,621,7560,0.51562984375
11.10.2018,12.10.2018,CALL,240.0,AAPL181012C00240000,0.01,0.0,0.01,-0.01,-50.0,877,12775,0.5312546875
11.10.2018,12.10.2018,CALL,242.5,AAPL181012C00242500,0.01,0.0,0.01,0.0,0.0,164,5630,0.5625043750000001
11.10.2018,12.10.2018,CALL,245.0,AAPL181012C00245000,0.02,0.01,0.01,0.01,100.0,2,4480,0.6562534375000001
11.10.2018,12.10.2018,CALL,247.5,AAPL181012C00247500,0.01,0.01,0.01,0.0,0.0,164,3484,0.70312796875
11.10.2018,12.10.2018,CALL,250.0,AAPL181012C00250000,0.01,0.0,0.01,0.0,0.0,9,3132,0.6875031250000001
11.10.2018,12.10.2018,CALL,252.5,AAPL181012C00252500,0.02,0.0,0.01,0.0,0.0,1,684,0.73437765625
11.10.2018,12.10.2018,CALL,255.0,AAPL181012C00255000,0.01,0.0,0.01,0.0,0.0,413,1199,0.7812521875
11.10.2018,12.10.2018,CALL,257.5,AAPL181012C00257500,0.01,0.0,0.01,0.0,0.0,5,608,0.8125018749999999
11.10.2018,12.10.2018,CALL,260.0,AAPL181012C00260000,0.01,0.0,0.01,0.0,0.0,1,33,0.8437515624999999
11.10.2018,12.10.2018,CALL,262.5,AAPL181012C00262500,0.01,0.0,0.02,0.0,0.0,6,138,0.9531254687499999
11.10.2018,12.10.2018,CALL,265.0,AAPL181012C00265000,0.02,0.0,0.01,0.01,100.0,1,39,0.937500625
11.10.2018,12.10.2018,CALL,267.5,AAPL181012C00267500,0.01,0.0,0.01,-0.02,-66.66667,1,1,0.9687503125
11.10.2018,12.10.2018,PUT,175.0,AAPL181012P00175000,0.01,0.0,0.02,-0.01,-50.0,207,10,0.9687503125
11.10.2018,12.10.2018,PUT,180.0,AAPL181012P00180000,0.04,0.02,0.03,0.0,0.0,113,6398,0.937500625
11.10.2018,12.10.2018,PUT,182.5,AAPL181012P00182500,0.01,0.04,0.15,-0.03,-75.0,786,1553,1.0312548437500002
11.10.2018,12.10.2018,PUT,185.0,AAPL181012P00185000,0.02,0.01,0.03,-0.030000001,19.999996,282,1587,0.7812521875
